white,black,asian,other,hs,assoc,bach,post-bach,age,income,owner occ,renter occ,vacancy,year built,house value
82.89,12.75,1.16,1.07,13.81,4.1,17.56,12.39,36.3,86780.0,59.51,40.49,0.0,1994.0,176500.0
63.75,26.72,6.02,1.0,18.98,2.65,16.76,15.26,35.6,51711.0,62.54,37.46,5.01,1992.0,139600.0
40.02,50.92,4.31,1.72,5.79,3.94,11.95,5.97,27.6,28750.0,6.76,93.24,21.73,1986.0,98600.0
56.96,35.78,4.37,1.14,12.69,6.12,18.37,3.41,42.6,42188.0,56.64,43.36,7.69,1983.0,137300.0
70.55,19.22,5.11,3.48,43.76,5.93,12.47,4.91,40.8,70357.0,63.96,36.04,0.0,1972.0,148800.0
33.13,47.1,1.82,13.64,14.22,4.83,10.34,1.77,27.5,53970.0,5.6,94.4,27.8,1982.0,117300.0
41.54,47.46,2.96,5.64,13.14,12.03,11.66,3.7,29.6,31250.0,28.32,71.68,25.73,1989.0,216100.0
58.49,31.56,4.09,3.14,24.13,8.73,12.82,13.91,37.7,34457.0,55.57,44.43,17.5,1983.0,143000.0
54.41,37.97,1.49,1.49,16.44,0.0,23.17,15.84,36.8,59840.0,59.62,40.38,17.59,1970.0,155700.0
2.7,95.45,0.0,0.46,21.84,5.3,9.57,17.47,43.8,66827.0,70.8,29.2,8.81,1973.0,122200.0
49.48,43.61,5.44,0.29,9.56,2.69,16.68,17.9,36.1,74185.0,69.25,30.75,8.67,1995.0,216200.0
77.54,15.67,5.45,0.07,4.33,3.36,38.73,14.18,47.0,88460.0,74.52,25.48,28.79,2002.0,281300.0
80.71,11.35,5.89,0.5,4.57,2.75,29.4,24.01,40.6,83371.0,67.86,32.14,5.99,1994.0,279900.0
62.31,30.82,4.52,0.75,14.63,2.48,26.74,15.74,39.7,81250.0,74.8,25.2,2.45,1985.0,187800.0
89.74,5.1,3.12,1.24,4.86,1.09,19.03,16.01,48.4,102757.0,100.0,0.0,11.02,1981.0,288100.0
88.2,5.5,4.42,0.43,4.13,0.0,29.18,12.74,45.7,164545.0,98.96,1.04,0.0,1997.0,469600.0
66.54,21.26,7.06,3.11,11.92,2.18,23.87,7.9,32.0,70655.0,54.27,45.73,14.77,2004.0,398800.0
23.54,68.97,2.11,2.69,19.19,1.97,11.08,4.57,27.8,40391.0,52.17,47.83,16.82,1983.0,129900.0
83.99,10.66,3.41,0.72,10.15,6.87,22.87,17.69,41.5,93869.0,93.17,6.83,4.07,1987.0,219700.0
76.64,17.98,2.14,1.17,13.5,6.23,18.56,9.21,37.4,58608.0,83.24,16.76,0.0,1976.0,137500.0
78.21,12.93,5.94,0.83,7.4,1.88,27.74,20.75,39.5,108558.0,76.32,23.68,18.94,1990.0,309000.0
63.0,26.0,2.4,6.98,29.23,2.14,22.51,3.91,25.7,50347.0,32.65,67.35,6.16,1983.0,144200.0
49.46,44.53,2.56,1.08,9.66,4.24,9.95,3.65,24.5,18654.0,29.33,70.67,29.8,2003.0,142500.0
10.8,79.52,0.06,7.46,18.36,0.0,8.68,1.73,24.9,27500.0,3.96,96.04,33.51,1983.0,
71.4,17.76,6.31,1.07,11.1,1.78,4.8,4.97,22.9,34375.0,0.0,100.0,45.63,1980.0,
50.85,35.19,8.5,2.31,5.7,1.82,12.74,16.14,25.4,16852.0,0.0,100.0,19.87,1975.0,
60.31,27.46,8.98,1.56,9.21,4.52,13.15,3.71,23.6,17578.0,8.56,91.44,10.79,1975.0,
84.03,8.99,3.88,0.94,0.0,0.0,0.84,0.45,21.9,11912.0,1.72,98.28,31.53,1996.0,
85.7,7.67,3.41,1.08,1.79,0.0,6.46,6.41,21.8,20091.0,19.77,80.23,8.8,2003.0,206100.0
84.03,8.99,3.88,0.94,3.14,0.0,7.4,1.94,21.0,30000.0,0.0,100.0,21.42,1999.0,
85.51,6.71,6.37,0.17,0.82,0.39,22.54,27.14,38.2,126188.0,87.94,12.06,0.0,1993.0,351000.0
81.79,9.04,7.8,0.26,0.0,0.0,7.54,16.12,22.4,21912.0,61.59,38.41,6.01,2003.0,232300.0
25.24,67.97,2.49,1.72,15.9,1.55,9.07,3.8,25.9,58173.0,66.54,33.46,22.44,2000.0,134000.0
24.11,59.92,1.71,11.31,21.94,2.28,8.46,5.37,26.0,43431.0,30.9,69.1,30.06,2001.0,130600.0
75.41,14.58,7.06,0.65,1.05,5.76,22.69,7.13,23.8,14400.0,13.92,86.08,14.67,1992.0,316700.0
91.85,3.31,3.95,0.38,4.24,1.36,23.17,25.38,50.7,225087.0,98.81,1.19,2.7,1994.0,668900.0
76.4,11.56,9.98,0.66,4.64,1.88,29.46,18.56,32.9,111111.0,96.98,3.02,1.97,2004.0,248400.0
24.58,72.55,0.0,0.0,25.07,3.67,0.0,0.0,35.8,53171.0,93.28,6.72,32.43,1976.0,91800.0
10.73,87.62,0.0,0.71,12.15,2.21,12.78,14.2,41.6,43836.0,86.39,13.61,15.78,1975.0,182000.0
0.64,98.89,0.0,0.0,11.61,2.54,6.2,2.54,31.1,26377.0,80.47,19.53,0.0,1975.0,101000.0
29.56,68.36,0.0,0.13,13.41,5.6,0.0,1.95,34.6,47266.0,57.93,42.07,21.7,1981.0,64800.0
21.33,77.09,0.86,0.72,37.46,0.0,7.93,0.0,36.7,33728.0,48.84,51.16,9.48,1975.0,111700.0
